Data Point Listing of File C:\Users\Devin\Aug23\1500CCM_cpmg_200.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	usec
-57477.000	-66336.000	1654.000
-52700.000	-3105.000	1656.000
3590.000	59085.000	1658.000
224.000	140434.000	1660.000
-23638.000	22117.000	1662.000
14.000	15.000	1664.000
-352.000	412.000	1666.000
-4218.000	-272.000	1668.000
-12615.000	-3593.000	1670.000
-2743.000	-8120.000	1672.000
-2046.000	-13588.000	1674.000
-22181.000	-42010.000	1676.000
2305.000	-13065.000	1678.000
20380.000	-456.000	1680.000
-1824.000	-2068.000	1682.000
-14103.000	11994.000	1684.000
-30760.000	18315.000	1686.000
6952.000	94319.000	1688.000
-57364.000	55433.000	1690.000
62611.000	-81548.000	1692.000
108885.000	1752.000	1694.000
92234.000	-74991.000	1696.000
63353.000	-5389.000	1698.000
34542.000	15023.000	1700.000
-73305.000	-68235.000	1702.000
-31704.000	-20255.000	1704.000
-43321.000	-43276.000	1706.000
108483.000	-25596.000	1708.000
63124.000	-31735.000	1710.000
87745.000	55238.000	1712.000
91250.000	117870.000	1714.000
6401.000	115075.000	1716.000
-114453.000	36037.000	1718.000
-59285.000	-103579.000	1720.000
-57098.000	23311.000	1722.000
-131010.000	-18389.000	1724.000
-42818.000	-6744.000	1726.000
15.000	58.000	1728.000
352.000	-1170.000	1730.000
-10647.000	-6612.000	1732.000
4614.000	-629.000	1734.000
9489.000	7050.000	1736.000
13450.000	-15451.000	1738.000
56055.000	-8478.000	1740.000
30845.000	3903.000	1742.000
-27481.000	-258.000	1744.000
-11502.000	-1981.000	1746.000
-29712.000	-8846.000	1748.000
-2891.000	-70660.000	1750.000
40114.000	-49634.000	1752.000
74422.000	-62321.000	1754.000
148920.000	54276.000	1756.000
-30029.000	171181.000	1758.000
6959.000	104959.000	1760.000
-131272.000	22132.000	1762.000
-121182.000	-53847.000	1764.000
-61591.000	-83919.000	1766.000
30444.000	-49954.000	1768.000
123257.000	30618.000	1770.000
119296.000	9265.000	1772.000
172467.000	73678.000	1774.000
14261.000	77098.000	1776.000
-117603.000	29018.000	1778.000
-138921.000	-25181.000	1780.000
-117627.000	-21139.000	1782.000
-29186.000	46285.000	1784.000
36374.000	52449.000	1786.000
88674.000	120458.000	1788.000
